time [ms]	Pressure [Hgmm]	illuminance [lux]
0.00 	 0.20 	 54.51
0.03 	 0.20 	 54.27
0.05 	 0.10 	 54.04
0.07 	 0.30 	 54.04
0.10 	 0.20 	 54.51
0.12 	 0.30 	 54.97
0.15 	 0.10 	 54.74
0.17 	 0.20 	 54.51
0.20 	 0.20 	 54.39
0.23 	 -0.10 	 54.04
0.25 	 -0.20 	 55.09
0.28 	 0.20 	 55.20
0.30 	 0.20 	 55.09
0.33 	 0.80 	 54.62
0.35 	 0.00 	 54.27
0.38 	 0.30 	 54.62
0.40 	 -0.10 	 55.09
0.42 	 0.50 	 54.97
0.45 	 0.30 	 54.86
0.47 	 0.20 	 54.51
0.50 	 -0.10 	 54.04
0.53 	 0.40 	 54.16
0.55 	 0.40 	 54.74
0.57 	 0.30 	 54.86
0.60 	 0.30 	 54.86
0.62 	 0.30 	 54.27
0.65 	 0.10 	 54.39
0.68 	 0.30 	 54.39
0.70 	 0.20 	 55.32
0.72 	 0.40 	 55.09
0.75 	 0.40 	 54.51
0.78 	 0.30 	 54.39
0.80 	 -0.10 	 54.04
0.82 	 -0.10 	 54.39
0.85 	 -0.10 	 54.74
0.88 	 0.70 	 55.09
0.90 	 -0.20 	 54.86
0.93 	 0.10 	 54.51
0.95 	 -0.10 	 54.39
0.97 	 0.30 	 54.74
1.00 	 0.20 	 55.20
1.02 	 0.20 	 55.20
1.05 	 0.10 	 55.32
1.07 	 0.60 	 54.86
1.10 	 0.10 	 54.74
1.12 	 0.60 	 54.74
1.15 	 0.50 	 54.97
1.18 	 0.30 	 54.74
1.20 	 0.00 	 54.27
1.23 	 0.30 	 54.04
1.25 	 0.50 	 54.04
1.27 	 0.20 	 54.86
1.30 	 0.00 	 55.20
1.32 	 0.30 	 54.74
1.35 	 0.40 	 54.86
1.38 	 0.20 	 54.62
1.40 	 0.40 	 54.27
1.43 	 0.30 	 54.74
1.45 	 0.50 	 55.20
1.48 	 0.30 	 54.74
1.50 	 0.40 	 54.62
1.52 	 0.20 	 54.27
1.55 	 0.30 	 54.62
1.57 	 0.20 	 54.74
1.60 	 0.40 	 55.20
1.62 	 0.40 	 55.09
1.65 	 0.20 	 54.86
1.68 	 0.20 	 54.51
1.70 	 -0.10 	 54.51
1.73 	 0.10 	 55.32
1.75 	 0.20 	 55.55
1.77 	 0.10 	 55.20
1.80 	 -0.10 	 55.09
1.82 	 0.10 	 54.74
1.85 	 0.20 	 55.32
1.88 	 0.40 	 55.44
1.90 	 0.60 	 55.79
1.93 	 0.20 	 55.32
1.95 	 0.40 	 55.09
1.98 	 0.40 	 54.86
2.00 	 0.30 	 55.09
2.02 	 0.30 	 55.55
2.05 	 0.80 	 55.44
2.08 	 0.30 	 55.09
2.10 	 0.50 	 54.62
2.12 	 0.30 	 54.51
2.15 	 0.30 	 55.55
2.17 	 0.40 	 55.79
2.20 	 0.40 	 55.44
2.23 	 0.20 	 55.20
2.25 	 0.20 	 55.09
2.27 	 0.20 	 54.51
2.30 	 0.40 	 54.97
2.33 	 0.40 	 55.79
2.35 	 0.20 	 55.79
2.38 	 0.10 	 55.32
2.40 	 0.70 	 54.97
2.42 	 0.30 	 54.97
2.45 	 0.30 	 55.67
2.48 	 0.20 	 55.90
2.50 	 0.30 	 55.44
2.52 	 0.40 	 55.20
2.55 	 0.50 	 55.32
2.58 	 0.50 	 55.20
2.60 	 0.50 	 55.67
2.62 	 -0.10 	 56.25
2.65 	 0.10 	 56.25
2.67 	 0.20 	 55.79
2.70 	 0.30 	 55.20
2.73 	 0.20 	 55.44
2.75 	 0.40 	 55.90
2.77 	 0.20 	 55.67
2.80 	 0.40 	 55.67
2.83 	 0.60 	 55.20
2.85 	 0.40 	 55.32
2.88 	 0.50 	 55.32
2.90 	 0.20 	 55.67
2.92 	 0.10 	 56.25
2.95 	 0.10 	 56.25
2.98 	 0.10 	 55.20
3.00 	 0.00 	 55.20
3.02 	 -0.10 	 55.79
3.05 	 -0.10 	 56.25
3.08 	 0.30 	 56.25
3.10 	 0.10 	 55.44
3.12 	 0.20 	 55.55
3.15 	 0.50 	 55.20
3.17 	 0.10 	 55.44
3.20 	 0.50 	 56.25
3.23 	 0.30 	 56.14
3.25 	 0.30 	 56.25
3.27 	 0.40 	 55.44
3.30 	 0.30 	 55.20
3.33 	 0.30 	 56.25
3.35 	 0.30 	 56.49
3.38 	 0.40 	 56.25
3.40 	 -0.00 	 56.02
3.42 	 0.30 	 55.79
3.45 	 0.50 	 55.79
3.48 	 0.40 	 55.79
3.50 	 0.30 	 56.25
3.52 	 0.20 	 55.90
3.55 	 0.40 	 55.79
3.58 	 0.20 	 55.55
3.60 	 0.10 	 55.20
3.62 	 -0.10 	 56.49
3.65 	 -0.10 	 56.49
3.67 	 0.20 	 56.02
3.70 	 0.20 	 55.79
3.73 	 0.20 	 55.67
3.75 	 0.20 	 55.79
3.77 	 -0.10 	 55.90
3.80 	 -0.10 	 56.60
3.83 	 -0.10 	 55.90
3.85 	 0.50 	 55.79
3.88 	 0.20 	 55.20
3.90 	 0.30 	 55.55
3.92 	 0.30 	 56.49
3.95 	 0.50 	 56.25
3.98 	 0.30 	 55.67
4.00 	 0.60 	 55.44
4.03 	 0.30 	 55.44
4.05 	 0.40 	 55.79
4.08 	 0.20 	 56.49
4.10 	 0.00 	 56.37
4.12 	 0.60 	 55.90
4.15 	 0.60 	 56.02
4.17 	 0.30 	 55.32
4.20 	 0.50 	 55.09
4.22 	 0.40 	 56.02
4.25 	 0.40 	 55.79
4.28 	 0.30 	 55.20
4.30 	 0.30 	 54.97
4.33 	 0.30 	 54.97
4.35 	 0.30 	 55.79
4.38 	 0.10 	 56.25
4.40 	 0.60 	 56.14
4.42 	 0.20 	 55.79
4.45 	 0.30 	 55.44
4.47 	 0.10 	 55.20
4.50 	 0.20 	 55.32
4.53 	 0.20 	 55.90
4.55 	 0.20 	 55.67
4.58 	 0.10 	 55.55
4.60 	 0.30 	 55.20
4.62 	 0.20 	 55.20
4.65 	 0.30 	 55.67
4.67 	 0.20 	 56.25
4.70 	 0.60 	 55.90
4.72 	 0.20 	 55.79
4.75 	 0.60 	 55.44
4.78 	 0.20 	 55.44
4.80 	 0.00 	 56.02
4.83 	 0.50 	 56.49
4.85 	 0.50 	 55.67
4.88 	 0.10 	 55.55
4.90 	 -0.00 	 55.32
4.92 	 0.30 	 55.32
4.95 	 0.40 	 55.44
4.97 	 0.10 	 55.90
5.00 	 0.10 	 55.67
5.03 	 0.20 	 55.32
5.05 	 0.20 	 54.97
5.08 	 0.10 	 54.97
5.10 	 0.10 	 56.02
5.12 	 0.10 	 56.02
5.15 	 0.30 	 55.79
5.17 	 -0.20 	 55.32
5.20 	 0.10 	 55.32
5.22 	 0.10 	 55.79
5.25 	 -0.10 	 55.90
5.28 	 0.30 	 55.90
5.30 	 0.40 	 55.79
5.33 	 1.10 	 55.55
5.35 	 0.30 	 55.32
5.38 	 0.30 	 55.44
