time [ms]	Pressure [Hgmm]	illuminance [lux]
0.00 	 0.10 	 50.20
0.03 	 -0.00 	 49.97
0.05 	 -0.10 	 49.38
0.07 	 0.10 	 49.62
0.10 	 -0.00 	 49.62
0.12 	 0.30 	 48.57
0.15 	 0.30 	 47.99
0.17 	 0.10 	 47.52
0.20 	 0.20 	 48.22
0.23 	 0.10 	 48.69
0.25 	 0.40 	 49.27
0.28 	 0.30 	 48.92
0.30 	 -0.10 	 48.92
0.33 	 0.10 	 48.45
0.35 	 -0.00 	 48.22
0.38 	 0.30 	 49.27
0.40 	 0.30 	 49.15
0.42 	 0.30 	 49.15
0.45 	 0.20 	 48.57
0.47 	 0.30 	 48.22
0.50 	 -0.10 	 49.03
0.53 	 -0.00 	 49.50
0.55 	 0.30 	 49.15
0.57 	 0.00 	 49.27
0.60 	 0.00 	 48.69
0.62 	 0.20 	 48.45
0.65 	 -0.00 	 48.69
0.68 	 0.00 	 49.15
0.70 	 -0.10 	 49.97
0.72 	 0.00 	 49.50
0.75 	 0.00 	 49.03
0.78 	 0.20 	 48.80
0.80 	 0.00 	 48.69
0.82 	 0.40 	 48.92
0.85 	 0.30 	 48.57
0.88 	 0.30 	 47.75
0.90 	 0.30 	 47.41
0.93 	 0.20 	 47.06
0.95 	 -0.00 	 47.29
0.97 	 -0.20 	 48.10
1.00 	 0.20 	 48.57
1.02 	 0.10 	 48.22
1.05 	 0.20 	 47.75
1.07 	 0.10 	 48.10
1.10 	 0.10 	 48.34
1.12 	 0.20 	 48.80
1.15 	 0.20 	 48.57
1.18 	 0.10 	 47.99
1.20 	 -0.10 	 47.87
1.23 	 -0.10 	 47.52
1.25 	 0.30 	 48.34
1.27 	 0.20 	 48.80
1.30 	 0.30 	 48.45
1.32 	 0.20 	 48.57
1.35 	 0.10 	 47.75
1.38 	 0.20 	 47.75
1.40 	 0.20 	 48.45
1.43 	 0.20 	 49.03
1.45 	 0.40 	 49.03
1.48 	 0.20 	 48.57
1.50 	 0.30 	 48.10
