time [ms]	Pressure [Hgmm]	illuminance [lux]
0.00 	 0.30 	 54.62
0.03 	 0.30 	 53.81
0.05 	 -0.10 	 53.57
0.07 	 0.10 	 53.57
0.10 	 0.30 	 54.04
0.12 	 0.30 	 54.86
0.15 	 0.40 	 54.51
0.17 	 0.30 	 54.62
0.20 	 0.30 	 53.57
0.23 	 0.30 	 53.81
0.25 	 0.10 	 54.27
0.28 	 0.20 	 54.86
0.30 	 0.20 	 54.74
0.33 	 0.10 	 53.81
0.35 	 -0.00 	 53.34
0.38 	 0.00 	 53.46
0.40 	 0.30 	 53.34
0.42 	 0.20 	 53.57
0.45 	 0.20 	 53.34
0.47 	 0.30 	 53.22
0.50 	 0.20 	 52.99
0.53 	 0.30 	 52.88
0.55 	 0.40 	 53.57
0.57 	 -0.10 	 54.04
0.60 	 0.30 	 54.16
0.62 	 0.20 	 53.46
0.65 	 0.30 	 53.11
0.68 	 0.40 	 53.34
0.70 	 0.30 	 54.16
0.72 	 0.30 	 54.16
0.75 	 0.10 	 53.81
0.78 	 0.30 	 53.92
0.80 	 0.30 	 53.34
0.82 	 0.50 	 53.34
0.85 	 0.40 	 54.39
0.88 	 0.30 	 54.39
0.90 	 0.40 	 54.39
0.93 	 -0.00 	 54.04
0.95 	 0.30 	 53.81
0.97 	 0.30 	 54.27
1.00 	 0.40 	 54.51
1.02 	 0.40 	 54.62
1.05 	 0.30 	 54.27
1.07 	 0.30 	 53.81
1.10 	 0.20 	 53.81
1.12 	 0.20 	 54.04
1.15 	 0.30 	 55.09
1.18 	 0.10 	 55.09
1.20 	 -0.10 	 54.86
1.23 	 -0.00 	 54.16
1.25 	 -0.00 	 53.69
1.27 	 0.30 	 54.16
1.30 	 0.30 	 53.92
1.32 	 0.20 	 53.69
1.35 	 0.20 	 53.22
1.38 	 0.10 	 52.64
1.40 	 -0.20 	 53.22
1.43 	 0.20 	 53.34
1.45 	 0.30 	 53.92
1.48 	 0.40 	 53.81
1.50 	 0.50 	 53.69
1.52 	 0.40 	 53.34
1.55 	 0.30 	 53.11
1.57 	 0.40 	 53.57
1.60 	 0.30 	 54.16
1.62 	 0.20 	 53.92
1.65 	 0.50 	 53.34
1.68 	 0.30 	 52.88
1.70 	 0.30 	 53.57
1.73 	 0.30 	 54.16
1.75 	 0.40 	 54.39
1.77 	 0.60 	 54.27
1.80 	 0.10 	 53.81
1.82 	 0.40 	 53.92
1.85 	 0.20 	 53.57
1.88 	 0.00 	 54.62
1.90 	 -0.20 	 54.51
1.93 	 0.30 	 54.27
1.95 	 0.20 	 54.16
1.98 	 0.20 	 53.92
2.00 	 0.20 	 53.81
2.02 	 0.30 	 54.62
2.05 	 0.10 	 54.86
2.08 	 0.10 	 54.86
2.10 	 0.50 	 54.04
2.12 	 0.30 	 53.81
2.15 	 0.40 	 54.16
2.17 	 0.40 	 54.97
2.20 	 0.30 	 54.27
2.23 	 0.50 	 53.57
2.25 	 0.30 	 52.88
2.27 	 -0.10 	 52.88
2.30 	 0.30 	 52.99
2.33 	 0.30 	 53.69
2.35 	 0.30 	 53.34
2.38 	 0.20 	 53.11
2.40 	 0.30 	 53.22
2.42 	 0.30 	 52.88
2.45 	 0.40 	 53.22
2.48 	 0.40 	 54.04
2.50 	 0.30 	 53.69
2.52 	 0.10 	 53.46
2.55 	 0.20 	 52.88
2.58 	 0.20 	 53.22
2.60 	 0.20 	 53.34
2.62 	 0.20 	 53.81
2.65 	 0.10 	 53.92
2.67 	 0.10 	 53.69
2.70 	 0.10 	 53.34
2.73 	 0.30 	 53.46
2.75 	 0.30 	 53.92
2.77 	 0.40 	 54.27
2.80 	 0.30 	 53.81
2.83 	 0.20 	 53.57
2.85 	 0.30 	 53.69
2.88 	 0.20 	 53.92
2.90 	 0.30 	 54.62
2.92 	 0.40 	 54.51
2.95 	 0.30 	 54.04
2.98 	 0.30 	 54.04
3.00 	 0.40 	 53.92
3.02 	 0.50 	 53.92
3.05 	 -0.00 	 54.39
3.08 	 0.20 	 54.74
3.10 	 0.30 	 54.27
3.12 	 0.30 	 53.92
3.15 	 0.20 	 54.16
3.17 	 0.30 	 54.27
3.20 	 0.10 	 54.27
3.23 	 0.10 	 54.04
3.25 	 0.40 	 53.34
3.27 	 0.10 	 52.99
3.30 	 0.20 	 52.76
3.33 	 -0.00 	 52.76
3.35 	 0.20 	 53.11
3.38 	 0.10 	 53.57
3.40 	 0.30 	 53.11
3.42 	 -0.20 	 52.88
3.45 	 -0.00 	 53.22
3.48 	 0.30 	 53.57
3.50 	 0.10 	 53.81
3.52 	 0.40 	 53.57
3.55 	 0.30 	 53.46
3.58 	 0.30 	 53.22
3.60 	 0.40 	 52.88
3.62 	 0.20 	 53.34
3.65 	 0.30 	 53.92
3.67 	 0.10 	 53.81
3.70 	 -0.10 	 53.69
3.73 	 -0.10 	 53.69
3.75 	 0.30 	 53.34
3.77 	 0.40 	 54.16
3.80 	 0.30 	 54.62
