time [ms]	Pressure [Hgmm]	illuminance [lux]
0.00 	 0.20 	 54.51
0.03 	 0.20 	 54.47
0.05 	 0.10 	 54.44
0.07 	 0.30 	 54.42
0.10 	 0.20 	 54.43
0.12 	 0.30 	 54.45
0.15 	 0.10 	 54.50
0.17 	 0.20 	 54.55
0.20 	 0.20 	 54.62
0.23 	 -0.10 	 54.68
0.25 	 -0.20 	 54.74
0.28 	 0.20 	 54.79
0.30 	 0.20 	 54.81
0.33 	 0.80 	 54.82
0.35 	 0.00 	 54.80
0.38 	 0.30 	 54.77
0.40 	 -0.10 	 54.72
0.42 	 0.50 	 54.67
0.45 	 0.30 	 54.62
0.47 	 0.20 	 54.58
0.50 	 -0.10 	 54.55
0.53 	 0.40 	 54.53
0.55 	 0.40 	 54.54
0.57 	 0.30 	 54.56
0.60 	 0.30 	 54.59
0.62 	 0.30 	 54.62
0.65 	 0.10 	 54.64
0.68 	 0.30 	 54.65
0.70 	 0.20 	 54.65
0.72 	 0.40 	 54.63
0.75 	 0.40 	 54.60
0.78 	 0.30 	 54.58
0.80 	 -0.10 	 54.56
0.82 	 -0.10 	 54.56
0.85 	 -0.10 	 54.59
0.88 	 0.70 	 54.63
0.90 	 -0.20 	 54.69
0.93 	 0.10 	 54.77
0.95 	 -0.10 	 54.84
0.97 	 0.30 	 54.91
1.00 	 0.20 	 54.96
1.02 	 0.20 	 54.99
1.05 	 0.10 	 54.98
1.07 	 0.60 	 54.93
1.10 	 0.10 	 54.87
1.12 	 0.60 	 54.78
1.15 	 0.50 	 54.69
1.18 	 0.30 	 54.61
1.20 	 0.00 	 54.56
1.23 	 0.30 	 54.53
1.25 	 0.50 	 54.53
1.27 	 0.20 	 54.56
1.30 	 0.00 	 54.60
1.32 	 0.30 	 54.65
1.35 	 0.40 	 54.69
1.38 	 0.20 	 54.72
1.40 	 0.40 	 54.73
1.43 	 0.30 	 54.74
1.45 	 0.50 	 54.73
1.48 	 0.30 	 54.72
1.50 	 0.40 	 54.71
1.52 	 0.20 	 54.71
1.55 	 0.30 	 54.72
1.57 	 0.20 	 54.74
1.60 	 0.40 	 54.77
1.62 	 0.40 	 54.81
1.65 	 0.20 	 54.85
1.68 	 0.20 	 54.91
1.70 	 -0.10 	 54.97
1.73 	 0.10 	 55.04
1.75 	 0.20 	 55.10
1.77 	 0.10 	 55.16
1.80 	 -0.10 	 55.21
1.82 	 0.10 	 55.26
1.85 	 0.20 	 55.29
1.88 	 0.40 	 55.30
1.90 	 0.60 	 55.30
1.93 	 0.20 	 55.29
1.95 	 0.40 	 55.26
1.98 	 0.40 	 55.23
2.00 	 0.30 	 55.19
2.02 	 0.30 	 55.16
2.05 	 0.80 	 55.14
2.08 	 0.30 	 55.13
2.10 	 0.50 	 55.13
2.12 	 0.30 	 55.14
2.15 	 0.30 	 55.15
2.17 	 0.40 	 55.17
2.20 	 0.40 	 55.19
2.23 	 0.20 	 55.21
2.25 	 0.20 	 55.22
2.27 	 0.20 	 55.24
2.30 	 0.40 	 55.25
2.33 	 0.40 	 55.27
2.35 	 0.20 	 55.29
2.38 	 0.10 	 55.30
2.40 	 0.70 	 55.32
2.42 	 0.30 	 55.35
2.45 	 0.30 	 55.38
2.48 	 0.20 	 55.41
2.50 	 0.30 	 55.46
2.52 	 0.40 	 55.51
2.55 	 0.50 	 55.57
2.58 	 0.50 	 55.63
2.60 	 0.50 	 55.68
2.62 	 -0.10 	 55.72
2.65 	 0.10 	 55.73
2.67 	 0.20 	 55.72
2.70 	 0.30 	 55.70
2.73 	 0.20 	 55.66
2.75 	 0.40 	 55.61
2.77 	 0.20 	 55.57
2.80 	 0.40 	 55.54
2.83 	 0.60 	 55.54
2.85 	 0.40 	 55.55
2.88 	 0.50 	 55.58
2.90 	 0.20 	 55.62
2.92 	 0.10 	 55.67
2.95 	 0.10 	 55.71
2.98 	 0.10 	 55.74
3.00 	 0.00 	 55.76
3.02 	 -0.10 	 55.76
3.05 	 -0.10 	 55.75
3.08 	 0.30 	 55.74
3.10 	 0.10 	 55.72
3.12 	 0.20 	 55.71
