time [ms]	Pressure [Hgmm]	illuminance [lux]
0.00 	 0.10 	 0.03
0.03 	 -0.00 	 -0.22
0.05 	 -0.10 	 -0.48
0.07 	 0.10 	 -0.76
0.10 	 -0.00 	 -1.04
0.12 	 0.30 	 -1.29
0.15 	 0.30 	 -1.46
0.17 	 0.10 	 -1.51
0.20 	 0.20 	 -1.43
0.23 	 0.10 	 -1.27
0.25 	 0.40 	 -1.07
0.28 	 0.30 	 -0.89
0.30 	 -0.10 	 -0.76
0.33 	 0.10 	 -0.66
0.35 	 -0.00 	 -0.59
0.38 	 0.30 	 -0.54
0.40 	 0.30 	 -0.49
0.42 	 0.30 	 -0.44
0.45 	 0.20 	 -0.38
0.47 	 0.30 	 -0.31
0.50 	 -0.10 	 -0.23
0.53 	 -0.00 	 -0.17
0.55 	 0.30 	 -0.12
0.57 	 0.00 	 -0.08
0.60 	 0.00 	 -0.03
0.62 	 0.20 	 0.05
0.65 	 -0.00 	 0.19
0.68 	 0.00 	 0.34
0.70 	 -0.10 	 0.48
0.72 	 0.00 	 0.56
0.75 	 0.00 	 0.55
0.78 	 0.20 	 0.43
0.80 	 0.00 	 0.21
0.82 	 0.40 	 -0.06
0.85 	 0.30 	 -0.36
0.88 	 0.30 	 -0.63
0.90 	 0.30 	 -0.81
0.93 	 0.20 	 -0.86
0.95 	 -0.00 	 -0.79
0.97 	 -0.20 	 -0.62
1.00 	 0.20 	 -0.40
1.02 	 0.10 	 -0.18
1.05 	 0.20 	 0.00
1.07 	 0.10 	 0.13
1.10 	 0.10 	 0.19
1.12 	 0.20 	 0.20
1.15 	 0.20 	 0.18
1.18 	 0.10 	 0.13
1.20 	 -0.10 	 0.10
1.23 	 -0.10 	 0.11
1.25 	 0.30 	 0.15
1.27 	 0.20 	 0.21
1.30 	 0.30 	 0.29
1.32 	 0.20 	 0.37
1.35 	 0.10 	 0.47
1.38 	 0.20 	 0.59
1.40 	 0.20 	 0.71
1.43 	 0.20 	 0.79
1.45 	 0.40 	 0.80
1.48 	 0.20 	 0.72
1.50 	 0.30 	 0.54
1.52 	 0.30 	 0.30
1.55 	 0.30 	 0.05
1.57 	 0.40 	 -0.17
1.60 	 0.40 	 -0.33
1.62 	 0.30 	 -0.39
1.65 	 -0.10 	 -0.36
1.68 	 0.20 	 -0.25
1.70 	 0.30 	 -0.09
1.73 	 0.20 	 0.05
1.75 	 0.10 	 0.14
1.77 	 0.20 	 0.17
1.80 	 -0.10 	 0.15
1.82 	 0.10 	 0.11
1.85 	 0.20 	 0.08
1.88 	 0.20 	 0.07
1.90 	 0.10 	 0.09
1.93 	 0.10 	 0.13
1.95 	 0.20 	 0.20
1.98 	 0.30 	 0.27
2.00 	 0.30 	 0.35
