time [ms]	Pressure [Hgmm]	illuminance [lux]
0.00 	 0.00 	 -0.00
0.03 	 0.00 	 0.04
0.05 	 0.30 	 0.08
0.07 	 -0.10 	 0.10
0.10 	 0.20 	 0.09
0.12 	 0.30 	 0.06
0.15 	 0.30 	 0.01
0.17 	 0.30 	 -0.04
0.20 	 0.20 	 -0.11
0.23 	 -0.00 	 -0.17
0.25 	 0.20 	 -0.22
0.28 	 0.00 	 -0.26
0.30 	 0.10 	 -0.28
0.33 	 -0.10 	 -0.30
0.35 	 -0.10 	 -0.30
0.38 	 0.70 	 -0.28
0.40 	 0.20 	 -0.26
0.42 	 0.20 	 -0.23
0.45 	 -0.10 	 -0.19
0.47 	 0.10 	 -0.14
0.50 	 0.10 	 -0.10
0.53 	 -0.10 	 -0.05
0.55 	 0.20 	 0.00
0.57 	 -0.10 	 0.05
0.60 	 0.20 	 0.10
0.62 	 0.30 	 0.15
0.65 	 0.30 	 0.20
0.68 	 0.50 	 0.25
0.70 	 0.10 	 0.29
0.72 	 0.00 	 0.33
0.75 	 0.30 	 0.35
0.78 	 0.10 	 0.35
0.80 	 0.00 	 0.34
0.82 	 0.30 	 0.30
0.85 	 0.30 	 0.24
0.88 	 0.50 	 0.17
0.90 	 0.40 	 0.09
0.93 	 -0.10 	 0.02
0.95 	 0.30 	 -0.05
0.97 	 0.90 	 -0.10
1.00 	 0.30 	 -0.14
1.02 	 0.40 	 -0.15
1.05 	 0.40 	 -0.16
1.07 	 0.20 	 -0.15
1.10 	 0.20 	 -0.14
1.12 	 0.20 	 -0.13
1.15 	 0.20 	 -0.13
1.18 	 0.40 	 -0.13
1.20 	 0.20 	 -0.13
1.23 	 0.20 	 -0.13
1.25 	 -0.10 	 -0.13
1.27 	 -0.10 	 -0.12
1.30 	 -0.10 	 -0.10
1.32 	 -0.00 	 -0.06
1.35 	 0.10 	 -0.02
1.38 	 0.10 	 0.03
1.40 	 0.00 	 0.09
1.43 	 0.20 	 0.13
1.45 	 0.20 	 0.16
1.48 	 0.20 	 0.18
1.50 	 0.50 	 0.17
1.52 	 0.20 	 0.13
1.55 	 0.50 	 0.07
1.57 	 0.40 	 -0.00
1.60 	 0.40 	 -0.09
1.62 	 0.40 	 -0.17
1.65 	 0.40 	 -0.24
1.68 	 0.30 	 -0.29
1.70 	 0.00 	 -0.31
1.73 	 0.40 	 -0.30
1.75 	 0.40 	 -0.26
1.77 	 0.30 	 -0.21
1.80 	 0.20 	 -0.14
1.82 	 0.40 	 -0.07
1.85 	 0.90 	 -0.01
1.88 	 0.30 	 0.03
1.90 	 0.50 	 0.05
1.93 	 0.40 	 0.04
1.95 	 -0.10 	 0.02
1.98 	 0.40 	 -0.01
2.00 	 0.30 	 -0.04
2.02 	 0.10 	 -0.06
2.05 	 0.10 	 -0.05
2.08 	 0.20 	 -0.02
2.10 	 0.20 	 0.05
2.12 	 0.30 	 0.13
2.15 	 0.30 	 0.23
2.17 	 0.30 	 0.31
2.20 	 -0.00 	 0.38
2.23 	 0.20 	 0.40
2.25 	 0.20 	 0.39
2.27 	 0.30 	 0.32
2.30 	 0.30 	 0.23
2.33 	 0.30 	 0.11
2.35 	 0.30 	 -0.00
2.38 	 0.00 	 -0.11
2.40 	 0.30 	 -0.18
2.42 	 0.50 	 -0.22
2.45 	 0.50 	 -0.22
2.48 	 -0.10 	 -0.20
2.50 	 0.10 	 -0.16
2.52 	 0.10 	 -0.12
2.55 	 0.10 	 -0.09
2.58 	 0.10 	 -0.07
2.60 	 0.20 	 -0.07
2.62 	 0.20 	 -0.07
2.65 	 0.20 	 -0.07
2.67 	 0.20 	 -0.06
2.70 	 0.20 	 -0.03
2.73 	 0.10 	 0.01
2.75 	 0.20 	 0.07
2.77 	 -0.10 	 0.15
2.80 	 0.20 	 0.22
2.83 	 0.20 	 0.29
2.85 	 0.20 	 0.35
2.88 	 0.20 	 0.38
2.90 	 0.20 	 0.39
2.92 	 0.00 	 0.38
2.95 	 0.00 	 0.35
2.98 	 0.30 	 0.29
3.00 	 0.30 	 0.23
3.02 	 0.30 	 0.15
3.05 	 0.20 	 0.07
3.08 	 0.20 	 -0.01
3.10 	 0.30 	 -0.08
3.12 	 0.30 	 -0.14
3.15 	 -0.10 	 -0.19
3.17 	 0.20 	 -0.23
3.20 	 0.30 	 -0.25
3.23 	 0.30 	 -0.26
3.25 	 0.10 	 -0.26
3.27 	 0.20 	 -0.26
3.30 	 0.20 	 -0.26
3.33 	 -0.10 	 -0.25
3.35 	 0.40 	 -0.25
3.38 	 0.10 	 -0.26
3.40 	 -0.10 	 -0.26
3.42 	 -0.10 	 -0.26
3.45 	 0.00 	 -0.25
3.48 	 0.30 	 -0.24
3.50 	 0.30 	 -0.21
3.52 	 0.20 	 -0.18
3.55 	 0.30 	 -0.13
3.58 	 0.30 	 -0.07
3.60 	 0.30 	 -0.00
3.62 	 0.20 	 0.07
3.65 	 0.40 	 0.14
3.67 	 0.30 	 0.21
3.70 	 0.40 	 0.27
3.73 	 0.40 	 0.30
3.75 	 0.00 	 0.32
3.77 	 0.30 	 0.30
3.80 	 0.30 	 0.26
3.83 	 0.30 	 0.19
3.85 	 0.20 	 0.10
3.88 	 0.20 	 0.01
3.90 	 0.20 	 -0.09
3.92 	 0.20 	 -0.18
3.95 	 0.20 	 -0.25
3.98 	 0.10 	 -0.30
4.00 	 0.20 	 -0.32
4.03 	 0.20 	 -0.32
4.05 	 0.20 	 -0.31
4.08 	 0.20 	 -0.28
4.10 	 0.20 	 -0.25
4.12 	 0.20 	 -0.21
4.15 	 0.30 	 -0.18
4.17 	 0.00 	 -0.15
4.20 	 0.30 	 -0.12
4.22 	 0.30 	 -0.09
4.25 	 0.40 	 -0.06
4.28 	 0.10 	 -0.02
4.30 	 -0.10 	 0.02
4.33 	 -0.10 	 0.07
4.35 	 0.20 	 0.13
4.38 	 0.30 	 0.19
4.40 	 0.60 	 0.26
4.42 	 -0.10 	 0.31
4.45 	 0.30 	 0.35
4.47 	 -0.10 	 0.37
4.50 	 0.30 	 0.37
4.53 	 0.30 	 0.33
4.55 	 0.30 	 0.27
4.58 	 0.20 	 0.19
4.60 	 0.30 	 0.10
4.62 	 0.20 	 0.02
4.65 	 0.20 	 -0.05
4.67 	 0.20 	 -0.10
4.70 	 0.20 	 -0.12
4.72 	 0.10 	 -0.11
4.75 	 0.20 	 -0.08
4.78 	 0.20 	 -0.03
4.80 	 0.10 	 0.03
4.83 	 0.10 	 0.10
4.85 	 0.20 	 0.16
4.88 	 0.30 	 0.22
4.90 	 0.30 	 0.26
4.92 	 0.30 	 0.30
4.95 	 0.40 	 0.32
4.97 	 0.20 	 0.33
5.00 	 -0.10 	 0.33
5.03 	 0.30 	 0.32
5.05 	 0.30 	 0.30
5.08 	 0.20 	 0.28
5.10 	 1.80 	 0.25
5.12 	 0.30 	 0.21
5.15 	 3.10 	 0.17
5.17 	 0.30 	 0.13
5.20 	 5.00 	 0.08
5.22 	 0.30 	 0.03
5.25 	 4.70 	 -0.03
5.28 	 0.20 	 -0.10
5.30 	 4.70 	 -0.17
5.33 	 0.20 	 -0.25
5.35 	 4.40 	 -0.34
5.38 	 0.10 	 -0.41
5.40 	 4.30 	 -0.47
5.42 	 0.60 	 -0.51
5.45 	 4.10 	 -0.52
5.47 	 0.20 	 -0.50
5.50 	 4.20 	 -0.46
5.53 	 0.30 	 -0.40
5.55 	 4.40 	 -0.33
5.58 	 0.40 	 -0.26
5.60 	 4.40 	 -0.19
5.62 	 0.50 	 -0.13
5.65 	 4.20 	 -0.09
5.67 	 0.30 	 -0.06
5.70 	 4.20 	 -0.05
5.72 	 0.50 	 -0.05
5.75 	 4.00 	 -0.04
5.78 	 1.90 	 -0.04
5.80 	 3.90 	 -0.02
5.83 	 3.50 	 0.01
5.85 	 3.10 	 0.07
5.88 	 3.00 	 0.13
5.90 	 3.00 	 0.21
5.92 	 2.90 	 0.28
5.95 	 2.80 	 0.34
5.97 	 3.00 	 0.38
6.00 	 3.00 	 0.37
6.03 	 2.90 	 0.33
6.05 	 3.30 	 0.26
6.08 	 3.20 	 0.15
6.10 	 3.00 	 0.04
6.12 	 2.90 	 -0.08
6.15 	 3.20 	 -0.19
6.17 	 3.20 	 -0.27
6.20 	 3.70 	 -0.33
6.22 	 3.90 	 -0.35
6.25 	 4.10 	 -0.35
6.28 	 4.20 	 -0.33
6.30 	 4.20 	 -0.30
6.33 	 4.40 	 -0.26
6.35 	 4.60 	 -0.23
6.38 	 5.10 	 -0.20
6.40 	 5.00 	 -0.17
6.42 	 5.20 	 -0.15
6.45 	 5.60 	 -0.13
6.47 	 5.40 	 -0.11
6.50 	 5.50 	 -0.10
6.53 	 6.00 	 -0.07
6.55 	 6.20 	 -0.05
6.58 	 6.50 	 -0.01
6.60 	 6.70 	 0.04
6.62 	 6.90 	 0.10
6.65 	 7.20 	 0.17
6.67 	 7.40 	 0.24
6.70 	 7.60 	 0.32
6.72 	 8.00 	 0.40
6.75 	 8.20 	 0.46
6.78 	 8.60 	 0.51
6.80 	 9.10 	 0.54
6.83 	 9.20 	 0.54
6.85 	 9.60 	 0.50
6.88 	 9.90 	 0.43
6.90 	 10.40 	 0.33
6.92 	 9.60 	 0.21
6.95 	 11.20 	 0.08
6.97 	 9.30 	 -0.05
7.00 	 12.10 	 -0.16
7.03 	 9.50 	 -0.25
7.05 	 12.70 	 -0.30
7.08 	 10.00 	 -0.31
7.10 	 13.30 	 -0.29
7.12 	 10.30 	 -0.25
7.15 	 13.90 	 -0.19
7.17 	 10.60 	 -0.12
7.20 	 14.30 	 -0.07
7.22 	 10.70 	 -0.03
7.25 	 14.70 	 -0.01
7.28 	 11.30 	 -0.01
7.30 	 14.90 	 -0.03
7.33 	 11.40 	 -0.06
7.35 	 15.00 	 -0.09
7.38 	 11.70 	 -0.11
7.40 	 15.10 	 -0.11
7.42 	 11.80 	 -0.08
7.45 	 15.70 	 -0.03
7.47 	 11.90 	 0.04
7.50 	 16.10 	 0.13
7.53 	 12.40 	 0.24
7.55 	 15.80 	 0.34
7.58 	 12.90 	 0.43
7.60 	 16.40 	 0.49
7.62 	 13.20 	 0.52
7.65 	 16.60 	 0.51
7.67 	 13.30 	 0.45
7.70 	 16.80 	 0.35
7.72 	 13.40 	 0.21
7.75 	 17.30 	 0.06
7.78 	 13.70 	 -0.10
7.80 	 17.50 	 -0.24
7.83 	 14.20 	 -0.36
7.85 	 17.70 	 -0.44
7.88 	 14.20 	 -0.47
7.90 	 18.00 	 -0.45
7.92 	 14.60 	 -0.41
7.95 	 18.20 	 -0.34
7.97 	 14.70 	 -0.26
8.00 	 18.10 	 -0.19
8.03 	 14.80 	 -0.14
8.05 	 18.70 	 -0.11
8.07 	 15.10 	 -0.11
8.10 	 18.40 	 -0.12
8.12 	 15.40 	 -0.14
8.15 	 19.20 	 -0.16
8.18 	 15.40 	 -0.17
8.20 	 19.00 	 -0.15
8.22 	 15.70 	 -0.10
8.25 	 19.40 	 -0.03
8.28 	 15.50 	 0.06
8.30 	 19.70 	 0.16
8.32 	 15.80 	 0.26
8.35 	 19.70 	 0.34
8.38 	 16.10 	 0.40
8.40 	 20.10 	 0.43
8.43 	 16.20 	 0.43
8.45 	 20.10 	 0.39
8.47 	 16.70 	 0.31
8.50 	 20.20 	 0.19
8.53 	 16.80 	 0.05
8.55 	 20.20 	 -0.10
8.57 	 17.00 	 -0.25
8.60 	 20.10 	 -0.40
8.62 	 18.90 	 -0.52
8.65 	 20.50 	 -0.60
8.68 	 18.70 	 -0.65
8.70 	 20.20 	 -0.65
8.72 	 20.00 	 -0.61
8.75 	 20.50 	 -0.54
8.78 	 20.60 	 -0.45
8.80 	 20.80 	 -0.35
8.82 	 21.50 	 -0.25
8.85 	 20.50 	 -0.16
8.88 	 21.80 	 -0.08
8.90 	 20.60 	 -0.01
8.93 	 22.40 	 0.05
8.95 	 20.40 	 0.10
8.97 	 23.20 	 0.14
9.00 	 20.90 	 0.18
9.03 	 23.70 	 0.21
9.05 	 20.70 	 0.25
9.07 	 23.90 	 0.27
9.10 	 20.80 	 0.30
9.12 	 24.20 	 0.33
9.15 	 20.50 	 0.37
9.18 	 24.60 	 0.41
9.20 	 21.10 	 0.46
9.22 	 24.20 	 0.52
9.25 	 21.40 	 0.57
9.28 	 24.50 	 0.61
9.30 	 21.30 	 0.62
9.32 	 24.60 	 0.59
9.35 	 21.10 	 0.51
9.38 	 25.00 	 0.38
9.40 	 21.10 	 0.21
9.43 	 25.20 	 0.02
9.45 	 21.40 	 -0.18
9.47 	 24.70 	 -0.36
9.50 	 24.60 	 -0.50
9.53 	 24.20 	 -0.58
9.55 	 24.20 	 -0.61
9.57 	 24.20 	 -0.58
9.60 	 24.80 	 -0.51
9.62 	 25.10 	 -0.41
9.65 	 25.00 	 -0.30
9.68 	 25.20 	 -0.19
9.70 	 25.90 	 -0.10
9.72 	 25.90 	 -0.02
9.75 	 26.10 	 0.03
