time [ms]	Pressure [Hgmm]	illuminance [lux]
0.00 	 0.30 	 -0.02
0.03 	 0.10 	 -0.24
0.05 	 0.40 	 -0.44
0.07 	 0.10 	 -0.58
0.10 	 0.60 	 -0.67
0.12 	 0.10 	 -0.69
0.15 	 0.40 	 -0.66
0.17 	 0.30 	 -0.59
0.20 	 -0.10 	 -0.49
0.23 	 0.30 	 -0.39
0.25 	 0.30 	 -0.30
0.28 	 0.50 	 -0.24
0.30 	 0.40 	 -0.22
0.33 	 0.40 	 -0.22
0.35 	 0.50 	 -0.26
0.38 	 0.20 	 -0.31
0.40 	 0.60 	 -0.37
0.42 	 0.50 	 -0.43
0.45 	 0.50 	 -0.47
0.47 	 0.30 	 -0.49
0.50 	 0.20 	 -0.49
0.53 	 0.10 	 -0.46
0.55 	 0.60 	 -0.40
0.57 	 0.30 	 -0.33
0.60 	 0.30 	 -0.25
0.62 	 0.40 	 -0.17
0.65 	 0.20 	 -0.09
0.68 	 0.40 	 -0.02
0.70 	 0.30 	 0.04
0.72 	 0.20 	 0.08
0.75 	 -0.10 	 0.10
0.78 	 0.10 	 0.11
0.80 	 -0.20 	 0.12
0.82 	 0.10 	 0.12
0.85 	 0.90 	 0.12
0.88 	 -0.20 	 0.13
0.90 	 -0.10 	 0.14
0.93 	 -0.10 	 0.16
0.95 	 0.10 	 0.18
0.97 	 0.30 	 0.20
1.00 	 0.20 	 0.20
1.02 	 0.40 	 0.20
1.05 	 0.10 	 0.19
1.07 	 0.10 	 0.16
1.10 	 0.20 	 0.13
1.12 	 0.30 	 0.09
1.15 	 0.20 	 0.06
1.18 	 0.20 	 0.03
1.20 	 0.30 	 0.02
1.23 	 0.30 	 0.02
1.25 	 0.70 	 0.03
1.27 	 0.30 	 0.04
1.30 	 0.20 	 0.06
1.32 	 0.20 	 0.08
1.35 	 -0.10 	 0.10
1.38 	 0.40 	 0.11
1.40 	 -0.10 	 0.12
1.43 	 0.20 	 0.12
